Common_name,Scientific_name,IUCN Rd Lst Status,General_continent,Description
Grey parrot,P. erithacus,VU ,Africa,"A grey parrot with black beak, white face and a short red tail"
Timneh parrot,P. timneh,VU ,Africa,A grey parrot with a white mask. The dark bill has a lighter colouring on the upper mandible.
Senegal parrot,P. senegalus,LC ,Africa,"A parrot with a yellow underbelly, green upper chest and grey head"
Red-bellied parrot,P. rufiventris,LC ,Africa,"Two parrots with grey heads. One has an orange-red belly, the other is green."
Rüppell's parrot,P. rueppellii,LC ,Africa,A grey parrot with blue belly and yellow legs. The top of the wings near the shoulders is almost white.
Cape parrot,P. robustus,LC ,Africa,"A parrot with a brown head, brown neck and white bill is peering out of a hole in a tree."
Meyer's parrot,P. meyeri,LC ,Africa,Two brown parrots. Their underplumage is turquoise-green.
Red-fronted parrot,P. gulielmi,LC ,Africa,A green parrot with an orange-yellow forehead.
Yellow-fronted parrot,P. flavifrons,LC ,Africa,A green parrot with a yellow face
Brown-headed parrot,P. cryptoxanthus,LC ,Africa,A green parrot with a light-brown head
Niam-Niam parrot,P. crassus,LC ,Africa,None
Burrowing parrot,C. patagonus,LC ,Africa,A green parrot with a black breast and a white eye-spot
Slender-billed parakeet,E. leptorhynchus,LC ,South America,A green parrot with sea-green wings and a red tail
Austral parakeet,E. ferrugineus,LC ,South America,A yellow-green parrot with green wings and orange underside
Thick-billed parrot,R. pachyrhyncha,EN ,South America,A green parrot with a bright red forehead
Maroon-fronted parrot,R. terrisi,EN ,South America,A green parrot with a maroon forehead
Ochre-marked parakeet,P. cruentata,VU ,South America,A green parrot with a maroon head and tail
Maroon-bellied parakeet,P. frontalis,LC ,South America,A green parrot with a maroon underside and tail with a white eye-spot
Blaze-winged parakeet,P. devillei,NT ,South America,None
Crimson-bellied parakeet,P. perlata,VU ,South America,"A teal parrot with a yellow cheek, dark-purple forehead, bright red underside, and blue wings"
Pearly parakeet,P. lepida,VU ,South America,A green parrot with a black head and a grey neck with blue-tipped wings
Green-cheeked parakeet,P. molinae,LC ,South America,"A green parrot with a black head, blue wings, and a red tail with a white eye-spot"
Painted parakeet,P. picta,LC ,South America,A green parrot with a black head and a red tail with a white eye-spot
Sinú parakeet,P. subandina,CR ,South America,None
Perijá parakeet,P. caeruleiceps,EN ,South America,None
Azuero parakeet,P. eisenmanni,EN ,South America,"A green parrot with a teal forehead and neck, a maroon head, and a black eye-spot"
Venezuelan parakeet,P. emma,LC ,South America,"A green parrot with a maroon face, tail, and underside with a grey neck, a blue forehead, and a black eye-spot"
Santarem parakeet,P. amazonum,EN ,South America,None
Madeira parakeet,P. snethlageae,VU ,South America,None
Bonaparte's parakeet,P. lucianii,LC ,South America,A green parrot with blue-tipped wings. Males have a red tail and underside with a brown head and neck
Rose-fronted parakeet,P. roseifrons,LC ,South America,A green parrot with a brown head and a red forehead
Wavy-breasted parakeet,P. peruviana,LC ,South America,None
White-eared parakeet,P. leucotis,NT ,South America,"A green parrot with a maroon face and underside, a white cheek, and a taupe forehead"
Grey-breasted parakeet,P. griseipectus,CR ,South America,"A green parrot with a maroon face and underside, a white cheek, a taupe forehead"
Pfrimer's parakeet,P. pfrimeri,EN ,South America,None
Fiery-shouldered parakeet,P. egregia,LC ,South America,A green parrot with a black tail and yellow wings with red shoulders
Santa Marta parakeet,P. viridicata,EN ,South America,A green parrot with blue wings and yellow shoulders
Maroon-tailed parakeet,P. melanura,LC ,South America,"A green parrot with a white throat, red shoulders, blue-tipped wings, and a maroon forehead and tail"
El Oro parakeet,P. orcesi,EN ,South America,None
Black-capped parakeet,P. rupicola,NT ,South America,"A green parrot with a black forehead, underside, and tail with a black-and-white collar"
White-breasted parakeet,P. albipectus,VU ,South America,"A green parrot with a pantone-brown tail and forehead, a peach neck, and red-and-yellow cheeks"
Flame-winged parakeet,P. calliptera,VU ,South America,"A green parrot with yellow-tipped wings, a peach throat, a white forehead and eye-spot, and a red tail"
Blood-eared parakeet,P. hoematotis,LC ,South America,"A green parrot with a red tail, blue-tipped wings, maroon cheeks, a red forehead, and white eye-spots"
Rose-crowned parakeet,P. rhodocephala,LC ,South America,"A green parrot with a red tail, blue-tipped wings, maroon cheeks, a red forehead, and white eye-spots"
Sulphur-winged parakeet,P. hoffmanni,LC ,South America,"A green parrot with a red tail, blue-tipped wings, maroon cheeks, a red forehead, and white eye-spots"
Garlepp's parakeet,P. parvifrons,LC ,South America,None
Choco parakeet,P. pacifica,LC ,South America,None
Glaucous macaw,A. glaucus,CR ,South America,A blue macaw with a pale-blue underside and peach eye-spots
Hyacinth macaw,A. hyacinthinus,VU ,South America,A violet-blue macaw with yellow eye-spots
Lear's macaw,A. leari,EN ,South America,A blue macaw yellow cheeks and eye-spots
Golden-plumed parakeet,L. branickii,VU ,South America,"A green parrot with a yellow underside and streak on the cheeks, with white eye-spots"
Yellow-eared parrot,O. icterotis,EN ,South America,A green parrot with a yellow forehead and cheeks
Southern red-shouldered macaw,D. cumanensis,LC ,South America,"A green parrot with a blue-green forehead, red shoulders, a white beak, a black jaw, and white eye-spots"
Northern Red-shouldered Macaw,D. nobilis,LC ,South America,"A green parrot with a dark-green forehead, red shoulders, a white beak, a black jaw, and white eye-spots"
Golden parakeet,G. guarouba,VU ,South America,A yellow parrot with green-tipped wings and tan eye-spots
Carolina parakeet,C. carolinensis,EX ,North America,"A green parrot with light-blue wings, yellow cheeks, an orange forehead, and a white eye-spot"
Spix's macaw,C. spixii,CR ,South America,A blue-grey parrot with a brown-gray head
Red-bellied macaw,O. manilatus,LC ,South America,"A green parrot with a light-yellow face, a blue forehead and blue speckles across the body"
Great green macaw,A. ambiguus ,EN ,South America,"A green parrot with a light-pink face, a red forehead, and blue-tipped wings"
Blue-and-yellow macaw,A. ararauna,LC ,South America,"A blue parrot with a white face, a green forehead, and a yellow underside and tail"
Red-and-green macaw,A. chloropterus,LC ,South America,"A red parrot with a white face, blue wings, and green shoulders"
Blue-throated macaw,A. glaucogularis ,CR ,South America,"A blue parrot with a white eye-patch and a yellow throat, cheeks, and underside"
Scarlet macaw,A. macao,LC ,South America,"A red parrot with a light-pink face, a white beak, a black jaw, yellow shoulders, and blue wings"
Military macaw,A. militaris,VU ,South America,"A green parrot with a black beak, a light-pink face, a red forehead, and blue-tipped wings"
Red-fronted macaw,A. rubrogenys,EN ,South America,"A green parrot with a red forehead and shoulders, blue-tipped wings, and white eye-spots"
Chestnut-fronted macaw,A. severus ,LC ,South America,"A green parrot with a white face, a maroon forehead, red shoulders, and blue-tipped wings"
Cuban macaw,A. tricolor,EX ,South America,"A red parrot with a yellow nape, blue wings, and white eye-patches"
Golden-collared macaw,P. auricollis ,LC ,South America,"A green parrot with a white face, a black forehead, blue-tipped wings, and a yellow nape"
Blue-headed macaw,P. couloni,VU ,South America,A green parrot with a blue head and wing-tips
Blue-winged macaw,P. maracana,NT ,South America,"A green parrot with a white face, a blue-and-red forehead, blue-tipped wings, and a red underside"
Golden-capped parakeet,A. auricapillus,NT ,South America,A green parrot with a yellow forehead and white eye-spots
Jandaya parakeet,A. jandaya,LC ,South America,A yellow parrot with green wings and white eye-spots
Sulphur-breasted parakeet,A. maculata ,LC ,South America,A yellow parrot with green wings and black eye-spots
Nanday parakeet,A. nenday,LC ,South America,A green parrot with a black face and forehead
Sun parakeet,A. solstitialis,EN ,South America,"A yellow parrot with orange cheeks, green-tipped wings and tail, and white eye-spots"
Dusky-headed parakeet,A. weddellii,LC ,South America,A green parrot with a light-grey head and white eye-spots
Aztec parakeet,E. astec,LC ,North America,A green parrot with a red-green underside and white eye-spots
Peach-fronted parakeet,E. aurea,LC ,South America,"A green parrot with a yellow underside and eye-spots, an orange forehead, and blue-tipped wings"
Caatinga parakeet,E. cactorum,LC ,South America,A green parrot with a yellow underside and white eye-spots
Orange-fronted parakeet,E. canicularis,LC ,North America,"A green parrot with a light-green underside, pale-yellow eye-spots, and a blue-and-red forehead"
Jamaican parakeet,E. nana,NT ,South America,A green parrot with white eye-spots and blue-tipped wings
Brown-throated parakeet,E. pertinax,LC ,South America,"A green parrot with a brown throat and cheeks, a blue forehead, a light-green underside, white eye-spots, and blue-tipped wings"
Blue-crowned parakeet,P. acuticaudatus,LC ,South America,"A green parrot with a blue forehead, yellow eye-spots, orange irises, and a light-green underside"
Socorro parakeet,P. brevipes,NE ,South America,None
Hispaniolan parakeet,P. chloropterus,VU ,South America,A green parrot with white eye-spots
Red-masked parakeet,P. erythrogenys,NT ,South America,"A green parrot with a red face, forehead, and shoulders, with white eye-spots"
Cuban parakeet,P. euops,VU ,South America,A green parrot with red shoulders and white eye-spots
Finsch's parakeet,P. finschi,LC ,South America,"A green parrot with red shoulders and forehead, and white eye-spots"
Cordilleran parakeet,P. frontatus,NT ,South America,None
Green parakeet,P. holochlorus,LC ,South America,A green parrot with black eye-spots
Guadeloupe parakeet,P. labati,EX ,South America,A green parrot with a red forehead
White-eyed parakeet,P. leucophthalmus,LC ,South America,A green parrot with red shoulders and white eye-spots
Puerto Rican parakeet,P. maugei,NE ,South America,A green parrot with a red forehead
Mitred parakeet,P. mitratus,LC ,South America,"A green parrot with a red face and forehead, and white eye-spots"
Red-throated parakeet,P. rubritorquis,LC ,South America,A green parrot with a light-green underside and a yellow-speckled throat
Pacific parakeet,P. strenuus,NE  ,South America,A green parrot
Scarlet-fronted parakeet,P. wagleri,NT ,South America,A green parrot with a red forehead and shoulder
Green-thighed parrot,P. leucogaster,EN ,South America,"A green parrot with a yellow head, an orange forehead and nape, a white underside, pink eye-spots, and red irises"
Black-legged parrot,P. xanthomerius,LC ,South America,"A parrot with green wings, yellow legs and cheeks, a white underside, and an orange forehead and nape"
Yellow-tailed parrot,P. xanthurus,VU ,South America,None
Black-headed parrot,P. melanocephalus,LC ,South America,"A parrot with green wings, yellow legs and cheeks, a white underside, an orange nape, and a black forehead"
Red-fan parrot,D. accipitrinus,LC ,South America,"A brown-grey parrot with a white forehead and speckles spanning the head and neck, a red strip of feathers with blue-tips on the nape which also cover the underside, and green wings"
Pacific parrotlet,F. coelestis,LC ,South America,"A white parrot with beige and blue-tipped wings, a green tail, a yellow-green face and forehead, and a violet nape"
Spectacled parrotlet,F. conspicillatus,LC ,South America,"A green parrot whose males have blue eye-spots and blue tipped wings, whereas females have black-tipped wings and no eye-spots"
Mexican parrotlet,F. cyanopygius,NT ,South America,None
Dusky-billed parrotlet,F. modestus,LC ,South America,"A yellow-green parrot with green wings, nape, and tail"
Green-rumped parrotlet,F. passerinus,LC ,South America,A green parrot with blue wings
Turquoise-winged parrotlet,Forpus spengeli,LC ,South America,None
Yellow-faced parrotlet,F. xanthops,VU ,South America,"A blue-grey parrot with a yellow underside, cheeks, and forehead, and blue-tipped wings"
Blue-winged parrotlet,F. xanthopterygius,LC ,South America,A green parrot with blue-tipped wings
Large-billed parrotlet,F. crassirostris,NE ,South America,None
Mountain parakeet,P. aurifrons,LC ,South America,"A green parrot with a yellow face and underside, and blue-tipped wings"
Gray-hooded parakeet,P. aymara,LC ,South America,"A green parrot with a white underside and cheeks, and a black forehead"
Rufous-fronted parakeet,B. ferrugineifrons,VU ,South America,None
Barred parakeet,B. lineola,LC ,South America,A green parrot with dark-green wing-tips
Andean parakeet,B. orbygnesius,LC ,South America,A green parrot with a light-green underside
Manu parrotlet,N. dachilleae,NT ,South America,None
Tepui parrotlet,N. panychlora,LC ,South America,A green parrot with a light-green underside
Lilac-tailed parrotlet,T. batavicus,LC ,South America,"A parrot with grey wings, a light-blue underside, blue-tipped wings, a violet tail, and a light-green head"
Scarlet-shouldered parrotlet,T. huetii,VU ,South America,Green parrot with yellow head and black tail tips
Red-fronted parrotlet,T. costaricensis,VU ,South America,None
Blue-fronted parrotlet,T. dilectissimus,LC ,South America,"A green parrot with blue-tipped wings, a black face, and white eye-spots"
Brown-backed parrotlet,T. melanonotus,EN ,South America,Green parrot with blue back and yellow eye-spot
Sapphire-rumped parrotlet,T. purpuratus,LC ,South America,None
Spot-winged parrotlet,T. stictopterus,VU ,South America,"A green parrot with a light-green underside, red shoulders and marks around the eyes, a white forehead, and black eye-spots"
Golden-tailed parrotlet,T. surdus,VU ,South America,None
Pileated parrot,P. pileata,LC ,South America,"A green parrot with a red forehead, and blue eye-spots and wings"
Blue-bellied parrot,T. malachitacea,NT ,South America,A green parrot whose males have a purple patch on their belly
Bald parrot,P. aurantiocephala,NT ,South America,"A green parrot with blue-tipped wings and no feathers on the head, revealing orange skin"
Orange-cheeked parrot,P. barrabandi,NT ,South America,"A green parrot red-tipped wings, a yellow collar and cheek, a black head, and white eye-spots"
Caica parrot,P. caica,NT ,South America,"A green parrot with a yellow neck, a black head, and red irises"
Brown-hooded parrot,P. haematotis,LC ,South America,"A green parrot with a yellow neck, a brown head and tail and white eye-spots"
Rose-faced parrot,P. pulchra,LC ,South America,None
Saffron-headed parrot,P. pyrilia,NT ,South America,"A green parrot with orange-yellow cheeks and nape, a maroon face and forehead, and white eye-spots"
Vulturine parrot,P. vulturina,VU ,South America,None
Bronze-winged parrot,P. chalcopterus,LC ,South America,"A blue parrot with a beige throat and speckles extending across the underside, brown wings with blue-edges, and a red underside of the tail"
Dusky parrot,P. fuscus,LC ,South America,"A grey parrot with dark grey wings and nape, and blue-tipped wings"
Scaly-headed parrot,P. maximiliani,LC ,South America,"A green-yellow parrot with a light-grey collar and face, white eye-spots, and a red underside of the tail"
Blue-headed parrot,P. menstruus,LC ,South America,A green parrot with a blue head and dark-grey eye-spots
Blue-breasted parrot,P. reichenowi,LC ,South America,None
White-crowned parrot,P. senilis,LC ,South America,"A blue-grey parrot with a light-blue underside, green wings, brown shoulders, a white forehead, orange eye-spots, and a red underside of the tail"
White-capped parrot,P. seniloides,LC ,South America,None
Red-billed parrot,P. sordidus,LC ,South America,"A green parrot with a violet collar, a black mark in front of their eyes above the beak, and a red underside of the tail"
Speckle-faced parrot,P. tumultuosus,LC ,South America,A green parrot with a blue collar and a red head with white speckles
Short-tailed parrot,G. brachyurus,LC ,South America,A green parrot with a light-green underside and head
Yellow-faced parrot,A. xanthops,NT ,South America,"A green parrot with a yellow head, white eye-spots, and blue horizontal stripes across its body except for the head"
Turquoise-fronted amazon,A. aestiva,LC ,South America,"A green parrot with red-tipped wings, a yellow face and forehead, and light-blue marks above the beak"
Black-billed amazon,A. agilis,VU ,South America,"A green parrot with violet-edged wings, and black eye-spots"
White-fronted amazon,A. albifrons,LC ,South America,"A green parrot with a red face, a white-and-blue forehead, and grey eye-spots"
Orange-winged amazon,A. amazonica,LC ,South America,A green parrot with yellow cheeks and a black face
Red-necked amazon,A. arausiaca,VU ,South America,A green parrot with red-tipped wings and a blue face whose males have a red mark on their throat
Yellow-naped amazon,A. auropalliata ,VU ,South America,A green parrot with a yellow nape and forehead
Red-lored amazon,A. autumnalis,LC ,South America,A green parrot with a red forehead and yellow cheeks
Yellow-shouldered amazon,A. barbadensis,VU ,South America,"A green parrot with yellow shoulders and head, and white eye-spots"
Northern Festive Amazon,A. bodini,NT ,South America,A green parrot with a blue head and a red forehead
Red-tailed amazon,A. brasiliensis ,VU ,South America,"A green parrot with light-brown cheeks, a red forehead, and white eye-spots"
Yellow-billed amazon,A. collaria,VU ,South America,"A green parrot with blue-edged wings, a light-brown forehead, and white eye-spots"
Diademed amazon,A. diadema,EN ,South America,"A green parrot with red-tipped wings and forehead, and white eye-spots"
Blue-cheeked amazon,A. dufresniana,NT ,South America,"A green parrot with light-blue cheeks, a yellow forehead, and white eye-spots"
Southern mealy amazon,A. farinosa,NT ,South America,A green parrot with black-tipped wings and white eye-spots
Southern festive amazon,A. festiva,NT ,South America,"A green parrot with a red forehead and eye, and blue eyebrows"
Lilac-crowned amazon,A. finschi,EN ,North America,A green parrot with a red forehead and grey eye-spots
Northern mealy amazon,A. guatemalae,NT ,South America,A green parrot with a blue forehead and white eye-spots
Saint Vincent amazon,A. guildingii,VU ,South America,"A brown parrot with blue-tipped wings, a yellow-tipped tail, a green nape, a yellow head, a white forehead, and light-blue eye-spots"
Imperial amazon,A. imperialis,EN ,South America,"A green parrot with a violet underside, a dark-violet head, and a dark-purple nape"
Kawall's amazon,A. kawalli,NT ,South America,A green parrot
Cuban amazon,A. leucocephala,NT ,South America,"A green parrot with a pink throat and cheeks, a white face and forehead, and blue-tipped wings"
Lilacine amazon,A. lilacina,EN ,South America,A green parrot with yellow cheeks and a red forehead
Martinique amazon,A. martinicana,EX ,South America,A green parrot with a blue-grey head and a red forehead
Scaly-naped amazon,A. mercenarius,LC ,South America,A green parrot with a green-yellow underside
Yellow-crowned amazon,A. ochrocephala,LC ,South America,"A green parrot with a yellow forehead, blue underarms, and white eye-spots"
Yellow-headed amazon,A. oratrix,EN ,South America,"A green parrot with a yellow forehead, red wing-tips, and white eye-spots"
Red-spectacled amazon,A. pretrei,VU ,South America,"A green parrot with a red forehead, blue-tipped wings, and white eye-spots"
Red-browed amazon,A. rhodocorytha,EN ,South America,"A green parrot with light-blue cheeks, a yellow mark between the eyes and the beak, a red forehead, a brown nape, and light-grey eye-spots"
Tucumán amazon,A. tucumana,VU ,South America,"A green parrot with black-tipped wings, a red forehead, and white eye-spots"
Hispaniolan amazon,A. ventralis,VU ,South America,"A green parrot with a pink-speckled belly, dark-grey cheeks, and a white forehead and eye-spots"
Saint Lucia amazon,A. versicolor,VU ,South America,"A green parrot with a dark-blue head, and a black forehead and wing-tips"
Vinaceous-breasted amazon,A. vinacea,EN ,South America,"A green parrot with a light-brown throat, a dark red mark between the eyes and the beak, and white eye-spots"
Guadeloupe amazon,A. violacea,EX ,South America,A green parrot with a dark grey head and underside
Red-crowned amazon,A. viridigenalis,EN ,South America,"A green parrot with a blue-grey nape, and a red forehead"
Puerto Rican amazon,A. vittata,CR ,South America,"A green parrot with blue-tipped wings, a red forehead, and white eye-spots"
Yucatán amazon,A. xantholora,LC ,South America,"A green parrot with a blue forehead, grey-tipped feathers on the throat, a yellow mark between the eyes and beak, and white eye-spots"
Rusty-faced parrot,H. amazonina,VU ,South America,"A green parrot with a red-orange head, a yellow throat, a light-green underside, blue-tipped wings and tail, and pink eye-spots"
Fuertes's parrot,H. fuertesi,CR ,South America,None
Black-winged parrot,H. melanotis,LC ,South America,"A green parrot a light-blue head, green cheeks, black shoulders and eye-spots, and blue-edged wings"
Red-faced parrot,H. pyrrhops,VU ,South America,"A green parrot with red shoulders and face, a light-blue forehead, violet-tipped wings, a blue-tipped tail, and grey eye-spots"
Yellow-chevroned parakeet,B. chiriri,LC ,South America,A green parrot with white eye-spots and yellow shoulders
Golden-winged parakeet,B. chrysoptera,LC ,South America,"A green parrot with a red forehead, yellow shoulders, and white eye-spots"
Cobalt-winged parakeet,B. cyanoptera,LC ,South America,"A green parrot with blue-tipped wings, a light-blue forehead, and white eye-spots"
Orange-chinned parakeet,B. jugularis,LC ,South America,A green parrot with a light green underside and an orange mark under the jaw
Grey-cheeked parakeet,B. pyrrhoptera,EN ,South America,"A green parrot with yellow cheeks and shoulders, blue marks between the eyes and beak, and white eye-spots"
Tui parakeet,B. sanctithomae,LC ,South America,"A green parrot with a light-green underside, yellow forehead, and white eye-spots"
Plain parakeet,B. tirica,LC ,South America,A light-green parrot with dark-green wings
White-winged parakeet,B. versicolurus,LC ,South America,A green parrot with white eye-spots and mark around the beak
Cliff parakeet,M. luchsi,LC ,South America,"A green parrot with a white head and chest, a light-green belly, blue-tipped wings and a blue-tipped tail"
Monk parakeet,M. monachus,LC ,South America,"A green parrot with a white head and chest, a light-green belly, blue-tipped wings and a blue-tipped tail"
Western rosella,P. icterotis,LC ,Australia,"A red parrot with black-and-green wings and tail, blue-edged wings, yellow cheeks, and grey eye-spots"
Crimson rosella,P. elegans,LC ,Australia,"A red parrot with a violet chin with white speckles, navy blue wings with red-tipped feathers, blue-tipped wings, and a blue tail"
Green rosella,P. caledonicus,LC ,Australia,"A green-yellow parrot with a blue chin, navy blue wings with blue-tipped feathers, blue-tipped wings, and a green-grey tail"
