Common_name,Scientific_name,IUCN Rd Lst Status,General_continent,Description
Pale-headed rosella,P. adscitus,LC ,Australia,"A light-blue parrot with a white chin, navy blue wings with blue-tipped feathers, blue-tipped wings, a green-grey tail, and a black nape with yellow-tipped wings"
Eastern rosella,P. eximius,LC ,Australia,"A red parrot with a yellow belly, black wings with yellow-tipped feathers, blue-tipped wings, blue tail, and a white chin"
Northern rosella,P. venustus,LC ,Australia,"A parrot with a white underside with black-tipped feathers, black wings with white-tipped feathers, lavender-edged wings, a lavender chin, and a black forehead"
Masked shining parrot,P. personata,NT ,Australia,"A green parrot with a yellow underside, blue-tipped wings, and a black face and tail"
Maroon shining parrot,"P. tabuensis,",LC ,Australia,"A dark-red parrot with green wings, blue-tipped wings, and a blue tail"
Crimson shining parrot,"P. splendens,",VU ,Australia,"A dark-orange parrot with green wings, blue-tipped wings, and a blue tail"
Horned parakeet,"E. cornutus,",VU ,Australia,"A green parrot with blue-tipped wings, a yellow nape, a black face, a red forehead, and two long, black tufts of feathers extending from the forehead to behind the head with red at the ends"
Ouvea parakeet,E. uvaeensis,EN ,Australia,A green parrot with a dark-green face
Yellow-crowned parakeet,C. auriceps,NT ,Australia,"A green parrot with blue-tipped wings, an orange forehead, and a red mark above the beak"
Malherbe's parakeet,C. malherbi,CR ,Australia,"A green parrot with blue-tipped wings, a yellow forehead, and an orange mark above the beak"
Red-crowned parakeet,C. novaezelandiae,NT ,Australia,A green parrot with blue-tipped wings and a red forehead
Society parakeet,†C. ulietanus,EX ,Australia,None
Antipodes parakeet,C. unicolor,VU ,Australia,A green parrot with a light-green underside
Black-fronted parakeet,†C. zealandicus,EX ,Australia,"A green parrot with blue-tipped wings, a red back and cheeks, and brown eye-spots"
Australian ringneck,B. zonarius,LC ,Australia,"A green parrot with blue-tipped wings, a dark-green throat, a black head, a red forehead, a dark-violet chin, and a green-yellow underside"
Red-capped parrot,P. spurius,LC ,Australia,"A dark-green parrot with blue-tipped wings, a blue-tipped tail, yellow cheeks, and a red forehead"
Swift parrot,L. discolor,CR ,Australia,"A green parrot with blue shoulders, a blue-green head, a blue forehead, and a red mark above and below the beak"
Eastern bluebonnet,N. haematogaster,LC ,Australia,"A grey parrot with yellow-and-blue-tipped wings, red ankles, and a violet face"
Naretha bluebonnet,N. narethae,NE  ,Australia,None
Red-rumped parrot,P. haematonotus,LC ,Australia,"The females are brown with a white underside with several black, half-circular marks across the body. The males are green with a bright-blue face and wings, blue-tipped wings, and a yellow belly"
Mulga parrot,P. varius,LC ,Australia,"The females have a brown head and neck, a green belly, and blue-green wings and tail. The males are blue-green with orange shoulders and mark above the beak, and red ankles"
Hooded parrot,P. dissimilis,LC ,Australia,"The females are green with a grey forehead and bright-blue tail. The males are bright-blue with a black forehead, yellow shoulders, and brown wings"
Golden-shouldered parrot,P. chrysopterygius,EN ,Australia,"The females are green. The males are bright-blue with a black forehead, yellow shoulders, grey wings, and a red belly"
Paradise parrot,†P. pulcherrimus,EX ,Australia,"The females are yellow-brown with a black forehead and wings, and red shoulders. The males are blue with a black forehead, nape, wings, and tail; and red shoulders, belly, and mark above the beak"
Blue-winged parrot,N. chrysostoma,LC ,Australia,A yellow parrot with blue-tipped wings and blue marks between the eyes and the beak
Elegant parrot,N. elegans,LC ,Australia,A yellow parrot with blue wingtips and marks between the eyes and the beak
Rock parrot,N. petrophila,LC ,Australia,A green-brown parrot with a blue mark above the beak
Orange-bellied parrot,N. chrysogaster,CR ,Australia,"A light-green parrot with a green-yellow underside, and blue wingtips and marks above the beak"
Turquoise parrot,N. pulchella,LC ,Australia,A blue parrot with a yellow underside and a green nape. The females have a green head and the males have a blue head
Scarlet-chested parrot,N. splendida,LC ,Australia,"A green parrot with a red chest, a yellow underside, and a blue head"
Bourke's parrot,N. bourkii,LC ,Australia,"A purple parrot with a pink underside, blue-edged wings, and black wings with white-edged feathers"
Night parrot,P. occidentalis,EN ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Eastern ground parrot,P. wallicus,LC ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Western ground parrot,P. flaviventris,NE  ,Australia,"A green parrot with black-edged feathers and wing-tips, and a light green underside"
Madarasz's tiger parrot,P. madaraszi,LC ,Australia,None
Modest tiger parrot,P. modesta,LC ,Australia,None
Painted tiger parrot,P. picta,LC ,Australia,"A green parrot with a red forehead, a black face, blue eye-spots, an orange underside-of-the-tail, a yellow nape, and a light green belly, whose males have a blue chest and females have a yellow chest"
Brehm's tiger parrot,P. brehmii,LC ,Australia,"A green parrot with a dark green forehead, black-tipped feathers on the nape, and a light green underside"
Black lory,C. atra,LC ,Australia,A dark purple parrot with a yellow tail and a red underside-of-the-tail
Brown lory,C. duivenbodei,LC ,Australia,"A gray parrot with yellow marks above and below the beak, yellow streaks on the nape, and brown wings"
Yellowish-streaked lory,C. scintillata,LC ,Australia,"A green parrot with a red forehead, yellow streaks on the underside, and a brown underside"
Black-winged lory,E. cyanogenia,VU ,Australia,"A red parrot with blue cheeks extending to the eyes, black eye-spots and wings"
Violet-necked lory,E. squamata,LC ,Australia,"A red parrot with a violet neck and underside, and black eye-spots and wingtips"
Blue-streaked lory,E. reticulata,NT ,Australia,"A red parrot with a dark blue streak behind the eyes, dark blue eye-spots, and black-tipped wings"
Red-and-blue lory,E. histrio,EN ,Australia,"A red parrot with a blue chest, nape, and forehead"
Red lory,E. bornea,LC ,Australia,A red parrot with a blue underside-of-the-tail
Blue-eared lory,E. semilarvata,LC ,Australia,"A red parrot with black eye-spots, a dark blue streak behind the eyes, and black wingtips and shoulders"
Dusky lory,P. fuscata,LC ,Australia,A black parrot with orange stripes
Cardinal lory,P. cardinalis[h],LC ,Australia,A red parrot with black eye-spots
Ornate lorikeet,T. ornatus,LC ,Australia,"A green parrot with a black throat and forehead, red cheeks, and a yellow nape"
Rainbow lorikeet,T. moluccanus,LC ,Australia,"A green parrot with a yellow nape and spots on the legs, a red chest with black-tipped feathers, and a blue-purple face"
Sunset lorikeet,T. forsteni,NT ,Australia,"A green parrot with a black head and belly, a red chest, and a yellow nape"
Leaf lorikeet,T. weberi,NT ,Australia,A green parrot with a yellow-green chest and nape
Marigold lorikeet,T. capistratus,LC ,Australia,"A green parrot with a yellow chest, nape, and legs, and a blue forehead"
Coconut lorikeet,T. haematodus,LC ,Australia,"A green parrot with blue head and belly, and an yellow chest"
Biak lorikeet,T. rosenbergii,VU ,Australia,"A green parrot with a black head and underside, and a dark blue face"
Red-collared lorikeet,T. rubritorquis,LC ,Australia,"A green parrot with a blue head, an orange neck, and a black mark behind the nape and on the legs"
Olive-headed lorikeet,T. euteles,LC ,Australia,A green parrot with a yellow-green underside and a yellow head
Citrine lorikeet,T. flavoviridis,LC ,Australia,A green parrot with light-green stripes on the underside
Mindanao lorikeet,T. johnstoniae,NT ,Australia,"A green parrot with a red-brown area around the beak, a red-violet stripe going around the head over the eyes, and yellow-tipped feathers on the underside"
Pohnpei lorikeet,T. rubiginosus,NT ,Australia,A red-violet parrot with a yellow underside-of-the-tail
Scaly-breasted lorikeet,T. chlorolepidotus,LC ,Australia,A green parrot with yellow stripes on the underside
Varied lorikeet,P. versicolor,LC ,Australia,"A green parrot with yellow spots on the body excluding the wings, and a red forehead"
Iris lorikeet,P. iris,LC ,Australia,"A green parrot with a light green underside, a red forehead, and a violet mark behind the eyes"
Goldie's lorikeet,P. goldiei,LC ,Australia,"A green parrot with a light green underside, black-tipped wings, violet cheeks, a purple streak behind the eyes, and a red forehead"
Chattering lory,L. garrulus,VU ,Australia,A red parrot with green wings and ankles
Purple-naped lory,L. domicella,EN ,Australia,"A green parrot with a red head and underside, a black forehead, and a violet nape"
Black-capped lory,L. lory,LC ,Australia,"A red parrot with a black forehead, a purple belly, a blue underside-of-the-tail, a yellow tail, and green wings"
Purple-bellied lory,L. hypoinochrous,LC ,Australia,"A red parrot with a black forehead, a dark purple belly, a blue underside-of-the-tail, and a yellow tail"
White-naped lory,L. albidinucha,NT ,Australia,None
Yellow-bibbed lory,L. chlorocercus,LC ,Australia,"A red parrot with a black forehead, a yellow throat, green wings, white shoulders, and blue ankles"
Collared lory,P. solitarius,LC ,Australia,"A green parrot with a red head and underside, and a black forehead"
Blue-crowned lorikeet,V. australis,LC ,Australia,"A green parrot with a red chin and throat, a violet belly, a blue forehead, and a small crest"
Kuhl's lorikeet,V. kuhlii,EN ,Australia,"Drawing of two parrots with a green back, red throat and belly, blue nape, and yellow central tail"
Stephen's lorikeet,V. stepheni,VU ,Australia,"Drawing of green parrot with red face and belly, green and black wings, and yellow tail"
Blue lorikeet,V. peruviana,VU ,Australia,Blue parrot with white chin and neck
Ultramarine lorikeet,V. ultramarina,EN ,Australia,"Drawing of a green parrot with a brown face and chest with white spots, a black chest ring below, and white belly. A Blue lorikeet is also pictured above."
Purple-crowned lorikeet,P. porphyrocephala [j],LC ,Australia,"Green parrot with orange brow and cheeks, purple crown, and yellow tail"
Little lorikeet,P. pusilla [k],LC ,Australia,Green parrot with a red face
Musk lorikeet,G. concinna,LC ,Australia,Green parrot with yellow spots on its back and a red stripe across the eyes
Josephine's lorikeet,C. josefinae,LC ,Australia,Red parrot with black crown and green wings with yellow spots
Duchess lorikeet,C. margarethae,NT ,Australia,"Drawing of a red parrot with black crown, yellow neck ring and tail tips, and green wings"
Meek's lorikeet,C. meeki,NT ,Australia,None
Striated lorikeet,C. multistriata,NT ,Australia,None
Palm lorikeet,C. palmarum,VU ,Australia,None
Papuan lorikeet,C. papou,LC ,Australia,"Green parrot with red head, black stripe across the eyes, blue inner wings and yellow tail and wing tips"
Red-flanked lorikeet,C. placentis,LC ,Australia,"Two green parrots with red beaks, one male with red sides and blue cheeks, and one female with yellow flecked cheeks"
Fairy lorikeet,C. pulchella,LC ,Australia,"Drawing of red parrot with green wings, nape, and upper tail, with yellow flecked chest"
Red-chinned lorikeet,C. rubrigularis,LC ,Australia,None
Red-fronted lorikeet,C. rubronotata,LC ,Australia,None
Pygmy lorikeet,C. wilhelminae,LC ,Australia,None
New Caledonian lorikeet,C. diadema,CR ,Australia,"Drawing of two light green parrots with darker wings, red beaks, and yellow chins and tail tips"
Red-throated lorikeet,C. amabilis,CR ,Australia,"Drawing of two green parrots with lighter bellies and red faces and necks, and one with no red and yellow and maroon stripes on underside of wings"
Blue-fronted lorikeet,C. toxopei,CR ,Australia,None
Plum-faced lorikeet,O. arfaki,LC ,Australia,"Two green parrots with red tails and belly patches, deep purple faces with a white stripe, one with a red crown"
Yellow-billed lorikeet,N. musschenbroekii,LC ,Australia,Two green parrots with red bellies and large yellow beaks
Orange-billed lorikeet,N. pullicauda,LC ,Australia,Drawing of two green parrots with orange beaks and red bellies and tail and wing tips
Budgerigar,M. undulatus,LC ,Australia,Green parrot with yellow head and yellow and black patterned wings
Orange-breasted fig parrot,C. gulielmitertii,LC ,Australia,A green parrot with blue-edged wings and orange cheeks
Double-eyed fig parrot,C. diophthalma,LC ,Australia,"Green parrot with red cheeks and brow, and blue temples"
Large fig parrot,P. desmarestii,LC ,Australia,"Green parrot with yellow head, red crown, and blue eye and wing markings"
Edwards's fig parrot,P. edwardsii,LC ,Australia,"Green parrot with blue, light blue, red, and yellow head markings"
Salvadori's fig parrot,P. salvadorii,LC ,Australia,None
Rosy-faced lovebird,A. roseicollis,LC ,Africa,Green parrot with pink face and blue tail tips
Yellow-collared lovebird,A. personatus,LC ,Africa,"Green parrot with yellow neck, black head, and red beak"
Fischer's lovebird,A. fischeri,NT ,Africa,"Three green parrots with yellow neck and crown, orange face, and red beak"
Lilian's lovebird,A. lilianae,NT ,Africa,Green parrot with orange chin and face and red forehead
Black-cheeked lovebird,A. nigrigenis,VU ,Africa,"Two bright green parrots with orange chin, black head, and red beak"
Gray-headed lovebird,A. canus,LC ,Africa,"Two green parrots, the right with white chest and head"
Black-winged lovebird,A. taranta,LC ,Africa,Green parrot with red crown and orange beak
Red-headed lovebird,A. pullarius,LC ,Africa,Two green parrots with orange faces
Black-collared lovebird,A. swindernianus,LC ,Africa,Light green parrot with orange chest marking and black neck marking
Moluccan hanging parrot,L. amabilis,LC ,Africa,"Drawing of two green parrots, one with red crown and central tail, and yellow back"
Orange-fronted hanging parrot,L. aurantiifrons,LC ,Australia,"Drawing of green parrot with darker wings, red crown, and red central tail"
Sri Lanka hanging parrot,L. beryllinus,LC ,Australia,Green parrot with darker wings and a red crown and beak
Sangihe hanging parrot,L. catamene,NT ,Australia,Drawing of two green parrots with red central tail and a blue underside of dark green wings
Pygmy hanging parrot,L. exilis,NT ,Australia,Drawing of green parrot with darker wings and red central tail
Wallace's hanging parrot,L. flosculus,EN ,Australia,None
Blue-crowned hanging parrot,L. galgulus,LC ,Australia,A green parrot with a short tail and black bill
Sula hanging parrot,L. sclateri,LC ,Australia,"Drawing of green parrot with red back and tail, with a yellow band mid-back"
Great hanging parrot,L. stigmatus,LC ,Australia,Green parrot with red throat
Bismarck hanging parrot,L. tener,NT ,Australia,Drawing of two green parrots with red throat and yellow tail
Philippine hanging parrot,L. philippensis,LC ,Australia,"Drawing of two green parrots with red tail, red crown and chin, yellow nape, and blue face"
Yellow-throated hanging parrot,L. pusillus,NT ,Australia,Green parrot with yellow throat
Vernal hanging parrot,L. vernalis,LC ,Australia,Green parrot with darker wings and orange beak
Guaiabero,B. lunulatus,LC ,Australia,Green parrot with yellow-flecked wings and bright blue-green face
Moluccan king parrot,A. amboinensis,LC ,Australia,Red parrot with green wings and blue back
Australian king parrot,A. scapularis,LC ,Australia,Red parrot with green wings
Papuan king parrot,A. chloropterus,LC ,Australia,Red parrot with green wings
Jonquil parrot,A. jonquillaceus,NT ,Australia,None
Red-winged parrot,A. erythropterus,LC ,Australia,"Two green parrots, one with red and black wings and one with red and green"
Superb parrot,P. swainsonii,LC ,Australia,"Green parrot with blue wings, yellow face, and orange chin and beak"
Regent parrot,P. anthopeplus,LC ,Australia,"Two yellow parrots with black tails, wing edges, and backs"
Princess parrot,P. alexandrae,NT ,Australia,"Green parrot with grey head, pink throat, yellow back, and dark wing tips"
Montane racket-tail,P. montanus,NT ,Australia,"Stamp with drawing of two green parrots with yellow chest and orange back, one with blue face and red crown"
Mindanao racket-tail,P. waterstradti,NT ,Australia,None
Blue-headed racket-tail,P. platenae,VU ,Australia,Green parrot with darker wings
Green racket-tail,P. luconensis,EN ,Australia,None
Blue-crowned racket-tail,P. discurus,LC ,Australia,"Drawing of two green parrots with darker wings, yellow throat, and blue crown and tail tips"
Mindoro racket-tail,P. mindorensis,VU ,Australia,None
Blue-winged racket-tail,P. verticalis,CR ,Australia,"Drawing of two green parrots with darker wings and blue tail tips, one with a red and blue crown"
Yellow-breasted racket-tail,P. flavicans,NT ,Australia,Drawing of a green parrot with yellow shoulders and a blue and red crown
Golden-mantled racket-tail,P. platurus,LC ,Australia,"Drawing of two green parrots, one with orange shoulders and a blue and red crown"
Buru racket-tail,P. mada,LC ,Australia,Green parrot with yellow under-tail and blue shoulders and crown
Eclectus parrot,E. roratus,LC ,Australia,"Two parrots, one green with orange and yellow bill, one red with blue nape"
Oceanic eclectus parrot,†E. infectus,EX ,Australia,Charcoal drawing of a parrot
Red-cheeked parrot,G. geoffroyi,LC ,Australia,Green parrot with rose cheeks and brow
Blue-collared parrot,G. simplex,LC ,Australia,None
Song parrot,G. heteroclitus,LC ,Australia,None
Rennell parrot,G. hyacinthinus,LC ,Australia,None
Great-billed parrot,T. megalorynchos,LC ,Australia,Green parrot with blue wing tips and large red beak
Blue-naped parrot,T. lucionensis,NT ,Asia,Green parrot with blue nape and red beak
Blue-backed parrot,T. sumatranus,LC ,Asia,Green parrot with blue back and red beak
Black-lored parrot,T. gramineus,VU ,Asia,None
Blue-rumped parrot,P. cyanurus,NT ,Asia,"Dusty green parrot with bright green wings, blue brow, and red beak"
Simeulue parrot,P. abbotti,NT ,Asia,None
Newton's parakeet,†P. exsul,EX ,Africa,Drawing of blue parrot with darker wings and head
Echo parakeet,P. eques,EN ,Asia,Green parrot with darker wings
Rose-ringed parakeet,P. krameri,LC ,Asia,Green parrot with red beak and pink neck ring
Alexandrine parakeet,P. eupatria,NT ,Asia,Green parrot with red beak
Seychelles parakeet,†P. wardi,EX ,Asia,"Drawing of green parrot with blue neck ring, red beak, and red wing patch"
Plum-headed parakeet,P. cyanocephala,LC ,Asia,"Two light green parrots with green wings, one with red wing patch, blue neck ring, and red head, the other with orange neck ring and grey head"
Blossom-headed parakeet,P. roseata,NT ,Asia,"Drawing of two green parrots with darker wings, one with a white head and red cheeks"
Slaty-headed parakeet,P. himalayana,LC ,Asia,"Green parrot with darker wings, blue nape, and dark grey head"
Gray-headed parakeet,P. finschii,NT ,Asia,"Drawing of two green parrots with dark grey head, blue neck ring, and red beaks"
Blue-winged parakeet,P. columboides,LC ,Asia,"A white parrot with green-blue wings, a yellow tail, and a grey collar"
Layard's parakeet,P. calthrapae,LC ,Asia,"Green parrot with grey back, head, and tail"
Lord Derby's parakeet,P. derbiana,NT ,Asia,"Two grey parrots with green back and wings, one with red beak"
Red-breasted parakeet,P. alexandri,NT ,Asia,"Two green parrots with red chest and grey heads, one with a red beak"
Nicobar parakeet,P. caniceps,NT ,Asia,"Drawing of two green parrots with grey heads, one with a blue beak and one with red"
Long-tailed parakeet,P. longicauda,NT ,Asia,"Green parrot with blue tail, red head, and black crown"
Mascarene grey parakeet,†P. bensoni [l],EX ,Africa,Drawing of a grey parrot with red beak
Broad-billed parrot,†L. mauritianus,EX ,Africa,Drawing of black parrot
Rodrigues parrot,†N. rodricanus,EX ,Africa,None
Buff-faced pygmy parrot,M. pusio,LC ,Australia,Drawing of green parrot with orange head and black and blue tail tips
Yellow-capped pygmy parrot,M. keiensis,LC ,Australia,Drawing of green parrot with yellow cheeks and yellow tail with black markings
Geelvink pygmy parrot,M. geelvinkiana,NT ,Asia,"Drawing of two green parrots with orange faces and blue crowns, one with orange chest"
Meek's pygmy parrot,M. meeki,LC ,Australia,None
Finsch's pygmy parrot,M. finschii,LC ,Australia,None
Red-breasted pygmy parrot,M. bruijnii,LC ,Australia,None
Greater vasa parrot,C. vasa,LC ,Africa,A brown parrot
Lesser vasa parrot,C. nigra,LC ,Africa,A brown parrot with blue-tipped wings
Seychelles black parrot,C. barklyi,VU ,Asia,A brown parrot
Pesquet's parrot,P. fulgidus,VU ,Australia,A blue-grey parrot with a red underside and wing tips
Cockatiel,N. hollandicus,LC ,Australia,"A grey parrot with white wings (except for the edges), a red cheek, and a yellow head"
Red-tailed black cockatoo,C. banksii,LC ,Australia,"A black parrot with a crest and males have small, white spots on their head and neck"
Glossy black cockatoo,C. lathami,LC ,Australia,A brown parrot with black wings and a crest
Baudin's black cockatoo,Z. baudinii,EN ,Australia,"A brown parrot with a crest, and a white back-of-the-neck and beak"
Yellow-tailed black cockatoo,Z. funereus,LC ,Australia,A brown parrot with a crest and white cheeks
Carnaby's black cockatoo,Z. latirostris,EN ,Australia,"A brown parrot with a crest, and white cheeks and beak"
Palm cockatoo,P. aterrimus,LC ,Australia,"A black parrot with a crest, and a red face"
Gang-gang cockatoo,C. fimbriatum,LC ,Australia,A grey parrot with a red head and crest
Galah,E. roseicapilla,LC ,Australia,"A grey parrot with a pink underside and throat, and a white forehead"
White cockatoo,C. alba,EN ,Australia,A white parrot with a crest and a grey beak
Solomons cockatoo,C. ducorpsii,LC ,Australia,A white parrot with a crest
Sulphur-crested cockatoo,C. galerita,LC ,Australia,A white parrot with a grey beak and a yellow crest
Tanimbar corella,C. goffiniana,NT ,Australia,A white parrot with a crest and a grey beak
Red-vented cockatoo,C. haematuropygia,CR ,Asia,A white parrot with a crest
Major Mitchell's cockatoo,C. leadbeateri,LC ,Australia,"A white parrot with a pink head and underside, a red crest, a grey beak, and white eye-spots"
Salmon-crested cockatoo,C. moluccensis,VU ,Australia,"A pink parrot with yellow wings, a red crest, and white eye-spots"
Blue-eyed cockatoo,C. ophthalmica,VU ,Australia,"A white parrot with a crest, a grey beak, and blue eye-spots"
Western corella,C. pastinator ,LC ,Australia,"A white parrot with a crest, a yellow tail, a grey beak, and blue eye-spots and feet"
Little corella,C. sanguinea,LC ,Australia,A white parrot with a crest and grey eye-spots
Yellow-crested cockatoo,C. sulphurea,CR ,Australia,"A white parrot with a crest, a black beak and a yellow crest"
Long-billed corella,C. tenuirostris,LC ,Australia,A white parrot with a crest and a red mask
New Zealand k?k?,N. meridionalis,EN ,Australia,A light brown-grey parrot with maroon spots on the underside and orange cheeks
Norfolk k?k?,†N. productus,EX ,Australia,A brown parrot with orange-and-red cheeks and underside
Kea,N. notabilis,VU ,Australia,A green parrot with a light-brown head and a brown-green underside
Kakapo,S. habroptilus,CR ,Australia,"A stocky, green parrot with black spots on the back and a straw-coloured faced"
